group	command	constructor	visibility
core	gh auth	authCmd.NewCmdAuth	manual
core	gh browse	browseCmd.NewCmdBrowse	manual
core	gh codespace	codespaceCmd.NewCmdCodespace	manual
core	gh discussion	discussionCmd.NewCmdDiscussion	manual
core	gh gist	gistCmd.NewCmdGist	manual
core	gh issue	issueCmd.NewCmdIssue	manual
core	gh org	orgCmd.NewCmdOrg	manual
core	gh pr	prCmd.NewCmdPR	manual
core	gh project	projectCmd.NewCmdProject	manual
core	gh release	releaseCmd.NewCmdRelease	manual
core	gh repo	repoCmd.NewCmdRepo	manual
core	gh skill	skillsCmd.NewCmdSkills	manual
actions	gh cache	cacheCmd.NewCmdCache	manual
actions	gh run	runCmd.NewCmdRun	manual
actions	gh workflow	workflowCmd.NewCmdWorkflow	manual
additional	gh agent-task	agentTaskCmd.NewCmdAgentTask	manual
additional	gh alias	aliasCmd.NewCmdAlias	manual
additional	gh api	apiCmd.NewCmdApi	manual
additional	gh attestation	attestationCmd.NewCmdAttestation	manual
additional	gh completion	completionCmd.NewCmdCompletion	manual
additional	gh config	configCmd.NewCmdConfig	manual
additional	gh copilot	copilotCmd.NewCmdCopilot	manual
additional	gh extension	extensionCmd.NewCmdExtension	manual
additional	gh gpg-key	gpgKeyCmd.NewCmdGPGKey	manual
additional	gh label	labelCmd.NewCmdLabel	manual
additional	gh licenses	licensesCmd.NewCmdLicenses	manual
additional	gh preview	previewCmd.NewCmdPreview	manual
additional	gh ruleset	rulesetCmd.NewCmdRuleset	manual
additional	gh search	searchCmd.NewCmdSearch	manual
additional	gh secret	secretCmd.NewCmdSecret	manual
additional	gh ssh-key	sshKeyCmd.NewCmdSSHKey	manual
additional	gh status	statusCmd.NewCmdStatus	manual
additional	gh variable	variableCmd.NewCmdVariable	manual
internal	gh version	versionCmd.NewCmdVersion	hidden-or-special
internal	gh accessibility	accessibilityCmd.NewCmdAccessibility	hidden-or-special
internal	gh actions	actionsCmd.NewCmdActions	hidden-or-special
internal	gh credits	creditsCmd.NewCmdCredits	hidden-or-special
internal	gh send-telemetry	sendTelemetryCmd.NewCmdSendTelemetry	hidden-or-special
